
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:0D:93:8A:25:01, 2006-10-19 11:53:07, 2006-10-19 12:45:20,  20,        2, 00:40:96:46:3B:32, tsunami                         
00:14:A4:79:F0:8F, 2006-10-19 11:54:14, 2006-10-19 12:22:43,  59,       58, 00:40:96:47:80:99, tsunami                         
00:16:6F:95:C7:ED, 2006-10-19 11:57:50, 2006-10-19 11:58:50,  10,        8, 00:40:96:46:3B:32, tsunami                         
00:0E:35:F6:D7:F0, 2006-10-19 11:59:12, 2006-10-19 11:59:12,  33,        2, 00:40:96:46:35:13, tsunami                         
00:17:F2:50:1B:9A, 2006-10-19 11:59:32, 2006-10-19 11:59:32,  10,        1, 00:40:96:46:3B:32, tsunami                         
00:12:F0:12:2E:EB, 2006-10-19 11:59:37, 2006-10-19 12:47:42,  24,       42, 00:40:96:46:4C:09, tsunami                         
00:16:6F:11:87:71, 2006-10-19 11:59:48, 2006-10-19 12:00:06,   1,        3, 00:40:96:46:55:07, tsunami                         
00:11:F5:B6:E0:B9, 2006-10-19 11:59:55, 2006-10-19 12:07:07,  26,       12, 00:40:96:46:58:9F, tsunami                         
00:13:CE:21:92:D0, 2006-10-19 12:00:39, 2006-10-19 12:00:39,   1,        1, 00:40:96:46:55:07, tsunami                         
00:13:02:72:DA:A3, 2006-10-19 12:03:19, 2006-10-19 12:46:51,   5,        9, 00:40:96:46:3B:32, tsunami                         
00:11:24:C3:0A:5B, 2006-10-19 12:04:47, 2006-10-19 12:32:36,  24,       19, 00:40:96:46:35:13, tsunami                         
00:03:2F:03:35:46, 2006-10-19 12:06:03, 2006-10-19 12:41:58,   1,      407, 00:40:96:46:48:3D, tsunami                         
00:0B:7D:0E:FE:74, 2006-10-19 12:06:37, 2006-10-19 12:48:05,  28,      425, 00:40:96:46:3B:32, tsunami                         
00:14:A5:5C:2E:B4, 2006-10-19 12:10:15, 2006-10-19 12:35:36,  67,      115, 00:40:96:46:26:F1, tsunami                         
00:12:F0:75:44:B8, 2006-10-19 12:11:28, 2006-10-19 12:11:55,   1,        2, 00:40:96:46:5F:D5,                                 
00:0B:7D:0B:64:D5, 2006-10-19 12:12:21, 2006-10-19 12:22:25,  20,       12, 00:40:96:46:35:13, tsunami                         
00:90:4B:D8:42:03, 2006-10-19 12:14:05, 2006-10-19 12:24:46,  16,       12, 00:40:96:46:35:D5, tsunami                         
00:11:F5:30:9F:1C, 2006-10-19 12:16:41, 2006-10-19 12:28:52,  50,      576, 00:40:96:46:35:D5, tsunami                         
00:17:F2:3F:73:F5, 2006-10-19 12:16:51, 2006-10-19 12:43:40,  72,       38, 00:40:96:45:FC:B0, tsunami                         
00:90:4B:F1:6B:BC, 2006-10-19 12:17:01, 2006-10-19 12:38:15,   5,        7, 00:40:96:46:66:AA, tsunami                         
00:16:6F:7C:B1:3F, 2006-10-19 12:17:40, 2006-10-19 12:35:45,  53,     3130, 00:40:96:46:48:3D, tsunami                         
00:12:F0:14:58:37, 2006-10-19 12:18:56, 2006-10-19 12:43:52,   1,        4, 00:40:96:46:3B:32, tsunami                         
00:13:CE:9B:79:F2, 2006-10-19 12:20:43, 2006-10-19 12:48:04,  35,      978, 00:40:96:46:80:40, tsunami                         
00:14:A5:B0:10:E1, 2006-10-19 12:21:42, 2006-10-19 12:33:40,  28,       18, 00:40:96:46:35:13, tsunami                         
00:11:09:07:C9:31, 2006-10-19 12:21:51, 2006-10-19 12:29:41,  30,        2, 00:40:96:46:35:13, tsunami                         
00:0E:35:71:58:B8, 2006-10-19 12:22:10, 2006-10-19 12:41:11,  28,      717, 00:40:96:47:80:99, tsunami                         
00:13:02:82:70:65, 2006-10-19 12:24:13, 2006-10-19 12:48:04,  50,      546, 00:40:96:46:48:3D, tsunami                         
00:90:4B:FA:6C:0F, 2006-10-19 12:24:21, 2006-10-19 12:27:54,  10,        7, 00:40:96:46:3B:32, tsunami                         
00:13:02:96:8C:44, 2006-10-19 12:25:01, 2006-10-19 12:43:32,  30,     1231, 00:40:96:46:4C:09, tsunami                         
00:16:6F:6F:53:0C, 2006-10-19 12:25:27, 2006-10-19 12:41:21,   1,       37, 00:40:96:46:55:07, tsunami                         
00:0C:41:C4:95:26, 2006-10-19 12:28:01, 2006-10-19 12:33:48,  22,       32, 00:40:96:46:35:13, tsunami                         
00:0E:35:AE:CA:F0, 2006-10-19 12:28:53, 2006-10-19 12:43:48,  10,       35, 00:40:96:46:3B:32, tsunami                         
00:13:CE:21:D4:EA, 2006-10-19 12:30:20, 2006-10-19 12:48:07,   1,     1193, 00:40:96:47:80:99, tsunami                         
00:12:F0:9A:61:9D, 2006-10-19 12:31:37, 2006-10-19 12:45:44,   1,      175, 00:40:96:40:C2:F0, tsunami                         
00:13:02:21:5F:4D, 2006-10-19 12:32:10, 2006-10-19 12:32:10,   1,        1, 00:40:96:46:54:CB, tsunami                         
00:11:24:9D:19:ED, 2006-10-19 12:39:28, 2006-10-19 12:48:05,  43,      848, 00:40:96:46:48:3D, tsunami                         
00:14:A5:34:90:0F, 2006-10-19 12:42:34, 2006-10-19 12:45:59,  26,       74, 00:40:96:46:35:D5, tsunami                         
00:13:46:C4:53:F8, 2006-10-19 12:43:33, 2006-10-19 12:43:33,  28,        1, 00:40:96:46:35:13, tsunami                         
00:13:02:A9:4D:E4, 2006-10-19 12:43:34, 2006-10-19 12:47:49,  35,       90, 00:0F:34:AB:14:10,                                 
00:13:02:BA:5E:19, 2006-10-19 12:44:29, 2006-10-19 12:44:29,   1,        1, 00:40:96:46:86:32, tsunami                         
00:20:E0:8B:AF:75, 2006-10-19 12:47:54, 2006-10-19 12:47:54,  26,        1, 00:40:96:46:4C:09, tsunami                         
00:13:02:CD:B7:01, 2006-10-19 12:48:05, 2006-10-19 12:48:06,  48,        2, 00:40:96:47:80:99, tsunami                         

