
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:90:4B:96:F0:E4, 2006-10-23 12:23:28, 2006-10-23 12:32:18,  67,     7329, 00:40:96:46:35:D5, tsunami                         
00:16:CB:07:A9:79, 2006-10-23 12:27:12, 2006-10-23 12:27:12,  12,        1, 00:40:96:46:3B:32, tsunami                         
00:12:F0:0C:C8:A2, 2006-10-23 12:29:54, 2006-10-23 12:30:06,  14,       13, 00:40:96:46:54:CB, tsunami                         
00:90:4B:F1:6B:BC, 2006-10-23 12:30:13, 2006-10-23 12:55:40,  22,      319, 00:40:96:46:3B:32, tsunami                         
00:13:CE:21:D4:EA, 2006-10-23 12:30:17, 2006-10-23 12:30:42,  18,       67, 00:40:96:46:35:D5, tsunami                         
00:12:F0:86:B9:3B, 2006-10-23 12:30:47, 2006-10-23 12:30:56,  35,       14, 00:40:96:46:35:D5, tsunami                         
00:11:F5:89:5B:E1, 2006-10-23 12:32:40, 2006-10-23 12:40:00,  14,      681, 00:40:96:46:3B:32, tsunami                         
00:14:A5:BD:BE:5B, 2006-10-23 12:33:39, 2006-10-23 12:45:02,  10,      341, 00:40:96:46:3B:32, tsunami                         
00:13:CE:1E:EC:05, 2006-10-23 12:34:16, 2006-10-23 12:37:16,   1,      245, 00:40:96:46:5F:D5, tsunami                         
00:20:E0:8B:AF:75, 2006-10-23 12:34:56, 2006-10-23 12:35:20,   1,       26, 00:40:96:46:54:CB, tsunami                         
00:14:A5:3B:E2:44, 2006-10-23 12:35:10, 2006-10-23 12:37:29,  35,    11524, 00:40:96:46:58:9F,                                 
00:12:F0:63:3F:51, 2006-10-23 12:36:24, 2006-10-23 12:36:49,  16,       91, 00:40:96:46:54:CB, tsunami                         
00:17:F2:49:30:D6, 2006-10-23 12:38:55, 2006-10-23 12:54:28,  10,       72, 00:40:96:46:3B:32, tsunami                         
00:13:02:C1:D6:42, 2006-10-23 12:41:00, 2006-10-23 12:46:15,   1,      809, 00:40:96:46:54:CB, tsunami                         
00:12:F0:0C:C2:10, 2006-10-23 12:42:30, 2006-10-23 12:55:14,  64,    10733, 00:40:96:47:80:99, tsunami                         
00:0E:35:8E:AA:96, 2006-10-23 12:47:46, 2006-10-23 12:55:33,  26,     1572, 00:40:96:46:3B:32, tsunami                         
00:16:CF:46:1D:2D, 2006-10-23 12:49:37, 2006-10-23 12:54:49, 100,     7063, 00:40:96:47:80:99, tsunami                         
00:90:4B:1F:6F:69, 2006-10-23 12:50:05, 2006-10-23 12:55:06,  14,       25, 00:09:5B:6A:43:28, Meyerhoff                       
00:17:F2:42:88:47, 2006-10-23 12:50:51, 2006-10-23 12:54:50,   1,       38, 00:40:96:46:48:3D, tsunami                         
00:17:F2:43:61:0E, 2006-10-23 12:53:16, 2006-10-23 12:55:28,  53,      510, 00:40:96:46:48:3D, tsunami                         
00:10:C6:30:F8:2D, 2006-10-23 12:55:03, 2006-10-23 12:55:42,  72,       35, 00:40:96:41:9C:23, tsunami                         

