
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:12:F0:0F:FA:44, 2006-10-16 12:36:53, 2006-10-16 13:00:59,  61,      295, 00:40:96:46:58:9F, tsunami                         
00:0E:35:2C:6A:40, 2006-10-16 12:37:03, 2006-10-16 12:59:52,  16,      435, 00:40:96:46:80:40, tsunami                         
00:14:A5:B0:10:E1, 2006-10-16 12:37:03, 2006-10-16 12:37:03,  14,        1, 00:40:96:46:35:13, tsunami                         
00:90:96:BF:89:9A, 2006-10-16 12:37:03, 2006-10-16 13:01:02,  14,      205, 00:40:96:46:35:13, tsunami                         
00:90:4B:54:F6:4B, 2006-10-16 12:37:06, 2006-10-16 12:55:50,  67,      117, 00:40:96:46:26:F1, tsunami                         
00:11:24:92:78:33, 2006-10-16 12:37:18, 2006-10-16 12:46:58,  45,      366, 00:40:96:46:4C:09, tsunami                         
00:14:A5:11:AB:BC, 2006-10-16 12:37:26, 2006-10-16 12:41:16,   1,       86, 00:40:96:46:86:32, tsunami                         
00:09:5B:8C:B6:D1, 2006-10-16 12:37:42, 2006-10-16 13:00:45,  33,       23, 00:40:96:45:FC:B0, tsunami                         
00:11:09:BF:DF:DA, 2006-10-16 12:37:42, 2006-10-16 12:49:06,  50,      245, 00:40:96:45:DE:EC, tsunami                         
00:90:96:BC:14:18, 2006-10-16 12:38:07, 2006-10-16 12:48:12,   1,        7, 00:40:96:46:35:13, tsunami                         
00:14:A5:43:09:61, 2006-10-16 12:38:24, 2006-10-16 13:00:54,  16,      149, 00:40:96:46:35:13, tsunami                         
00:11:24:A9:69:9A, 2006-10-16 12:38:28, 2006-10-16 12:42:18,  33,        9, 00:40:96:46:26:F1, tsunami                         
00:15:00:38:50:56, 2006-10-16 12:38:48, 2006-10-16 12:59:34,   1,       13, 00:40:96:46:11:E0, tsunami                         
00:0B:7D:18:B8:44, 2006-10-16 12:39:12, 2006-10-16 13:00:40,  72,     1219, 00:40:96:46:3B:32, tsunami                         
00:14:A5:72:3A:32, 2006-10-16 12:39:20, 2006-10-16 12:45:30,  28,       13, 00:40:96:46:35:13, tsunami                         
00:13:02:21:5F:4D, 2006-10-16 12:39:48, 2006-10-16 13:01:03,  70,     1275, 00:40:96:46:3B:32, tsunami                         
00:13:02:7F:96:11, 2006-10-16 12:39:52, 2006-10-16 12:46:35,  14,        8, 00:40:96:46:35:13, tsunami                         
00:13:02:3C:4A:A3, 2006-10-16 12:40:23, 2006-10-16 12:45:15,  30,      208, 00:0F:34:AE:FC:40, tsunami                         
00:13:CE:7C:3D:EA, 2006-10-16 12:40:45, 2006-10-16 12:57:26,   5,     1195, 00:40:96:47:80:99, tsunami                         
00:E0:4C:81:80:66, 2006-10-16 12:42:33, 2006-10-16 12:42:33,  28,        6, 00:07:85:92:2B:8C,                                 
00:13:CE:37:59:0C, 2006-10-16 12:42:55, 2006-10-16 13:01:02,  18,      491, 00:40:96:46:48:3D, tsunami                         
00:0E:35:15:C2:C8, 2006-10-16 12:43:53, 2006-10-16 13:00:22,  48,      195, 00:40:96:46:4C:09, tsunami                         
00:11:F5:EE:77:79, 2006-10-16 12:43:54, 2006-10-16 12:52:53,  10,        3, 00:40:96:46:35:13, tsunami                         
00:16:B6:07:86:7B, 2006-10-16 12:44:50, 2006-10-16 12:57:50,  22,        8, 00:40:96:40:C2:F0, tsunami                         
00:11:50:11:3A:2C, 2006-10-16 12:45:25, 2006-10-16 13:00:01,   5,        7, 00:40:96:46:55:07, tsunami                         
00:0B:7D:1C:80:18, 2006-10-16 12:47:17, 2006-10-16 13:00:55,  33,      395, 00:40:96:46:54:CB, tsunami                         
00:11:24:8D:AD:13, 2006-10-16 12:47:42, 2006-10-16 12:59:40,  33,       21, 00:40:96:46:35:D5, tsunami                         
00:17:F2:43:95:1E, 2006-10-16 12:48:06, 2006-10-16 12:58:08,  38,      126, 00:40:96:47:80:99, tsunami                         
00:90:96:CE:73:E3, 2006-10-16 12:48:12, 2006-10-16 12:48:12,  10,        3, 00:40:96:46:35:13, tsunami                         
00:13:46:20:ED:A9, 2006-10-16 12:48:35, 2006-10-16 12:52:07,  28,       10, 00:0F:34:AE:FC:40, tsunami                         
00:02:8A:29:8A:6F, 2006-10-16 12:49:50, 2006-10-16 13:00:42,  30,      171, 00:40:96:46:3B:32, tsunami                         
00:13:CE:31:7B:EC, 2006-10-16 12:52:21, 2006-10-16 12:57:50,   1,        7, 00:40:96:46:35:13, tsunami                         
00:11:24:C3:0A:5B, 2006-10-16 12:52:21, 2006-10-16 13:00:14,   5,       16, 00:40:96:46:35:13, tsunami                         
00:12:F0:61:A6:A7, 2006-10-16 12:52:38, 2006-10-16 12:57:45,  30,       71, 00:40:96:46:86:32, tsunami                         
00:14:A5:83:9F:EB, 2006-10-16 12:52:54, 2006-10-16 13:00:30,  14,       20, 00:40:96:46:35:13, tsunami                         
00:14:A5:0A:87:A9, 2006-10-16 12:55:48, 2006-10-16 13:00:07,  56,      369, 00:40:96:46:48:3D, tsunami                         
00:C0:A8:BC:60:3C, 2006-10-16 12:58:14, 2006-10-16 13:01:04,  43,       70, 00:40:96:46:54:CB, tsunami                         
00:13:CE:37:91:5B, 2006-10-16 12:59:58, 2006-10-16 13:01:04,  22,       37, 00:40:96:46:0F:96, tsunami                         

